sampleid	disease	side	passage	filepath
10x3V31_GTM_1672_P3	glaucoma	unknown	P3	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3V31_GTM_1672_P3.h5ad
10x3V31_GTM_2956	glaucoma	OS	P1	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3V31_GTM_2956.h5ad
10x3V31_GTM_7445	glaucoma	unknown	P4	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3V31_GTM_7445.h5ad
10x3V31_hTM_0114_P1	healthy	OS	P1/P2	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3V31_hTM_0114_P1.h5ad
10x3v31_hTM_11701_P2	healthy	OS	P2	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3v31_hTM_11701_P2.h5ad
10x3v31_hTM_11703_P2	healthy	OS	P2	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3v31_hTM_11703_P2.h5ad
10x3v31_hTM_2180	healthy	OD	P1	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3v31_hTM_2180.h5ad
10x3V31_hTM_659_P1_DCR	healthy	unknown	P1/P3	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3V31_hTM_659_P1_DCR.h5ad
10x3V31_hTM_74M_P2	healthy	OD	P2	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3V31_hTM_74M_P2.h5ad
10x3V31_hTM_7987_P2	healthy	unknown	P1/P2	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3V31_hTM_7987_P2.h5ad
10x3v31_hTM_9355_P1	healthy	OS	P1	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3v31_hTM_9355_P1.h5ad
10x3v31_hTM_9632_P2	healthy	unknown	P2	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3v31_hTM_9632_P2.h5ad
10x3v31_hTM_9691_P1	healthy	unknown	P1	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3v31_hTM_9691_P1.h5ad
10x3V31_OHSU_GTM_2019_0461	glaucoma	unknown	P3	/storage/chentemp/alice/TM_project/tissue/scrnah5addelfromobs/10x3V31_OHSU_GTM_2019_0461.h5ad
22_0500_TM	healthy	unknown	tissue	/storage/chentemp/alice/TM_project/scrnah5adbarcodeaddprefix/obj_query_predicted_umap_22_0500_TM.h5ad
22_0688_TM	healthy	unknown	tissue	/storage/chentemp/alice/TM_project/scrnah5adbarcodeaddprefix/obj_query_predicted_umap_22_0688_TM.h5ad
22_0769_TM	healthy	unknown	tissue	/storage/chentemp/alice/TM_project/scrnah5adbarcodeaddprefix/obj_query_predicted_umap_22_0769_TM.h5ad
